a,110644
aa,26139
e,12364
wang,11954
li,10548
zhang,9435
liu,9306
aaa,8866
o,8725
chen,7779
woaini,7060
yang,6541
aaaaaaaa,5971
yu,5135
sun,4332
lin,4281
wo,3909
wei,3812
huang,3668
xiazhili,3659
wu,3577
xiao,3456
xu,3371
zhou,3361
feng,3326
long,3317
zhao,3042
hu,2967
zhu,2848
hao,2834
yan,2768
ma,2567
jiang,2511
liang,2351
yuan,2341
ai,2314
jia,2287
gao,2212
aaaa,2198
jing,2132
he,2102
guo,2008
wen,1996
han,1989
lu,1940
oo,1915
song,1878
tang,1838
luo,1814
wan,1791
dong,1765
jie,1752
jin,1751
hui,1677
cheng,1677
jun,1654
shi,1622
hua,1619
ming,1610
tian,1561
fei,1561
peng,1548
xin,1531
aini,1506
fang,1472
cao,1463
lee,1452
china,1449
fan,1447
meng,1443
woaiwojia,1417
yao,1415
ling,1399
jian,1381
lei,1365
you,1355
tao,1322
cai,1308
zheng,1302
su,1268
ye,1256
hong,1254
ying,1251
shen,1246
xie,1225
pan,1207
xiaoxiao,1186
xia,1185
woshi,1164
xue,1160
bin,1143
an,1128
lan,1114
xiang,1110
ren,1108
mima,1107
yue,1076
xing,1071
yi,1056
woai,1051
mao,1050
yun,1017
yangyang,1012
weiwei,1004
nihao,999
sa,993
ping,992
qing,976
qin,971
fu,968
woshishui,964
haha,949
me,947
deng,932
ding,911
chao,911
ji,909
qian,907
tan,877
lili,872
bao,872
ting,864
min,860
lv,853
qi,840
qiang,830
jingjing,828
ni,822
bai,813
wa,811
hai,809
buzhidao,809
yin,800
baobao,799
zhong,782
er,773
dai,773
bo,772
maomao,771
shan,768
qiu,764
du,763
bobo,756
gu,747
liwei,745
liao,742
leo,742
kai,740
cui,740
wocaonima,738
sheng,731
jiao,727
dan,727
woainima,720
sunshine,715
bing,714
da,712
jiajia,710
wojiushiwo,701
mei,699
feifei,697
wangwei,694
caonima,690
xiaoyu,682
tiantian,680
zhangwei,676
laopo,662
nan,659
zeng,649
kang,649
miao,647
yong,643
aaaaaa,642
chang,639
ning,634
zhen,632
juan,626
shao,619
yuanyuan,611
rong,611
de,604
xuan,602
sina,594
wodemima,593
niu,592
xiong,590
xi,587
ya,573
fa,569
shanghai,568
hou,568
lulu,567
ee,565
wangjian,564
beijing,561
mo,555
aaaaaaaaa,555
wode,550
nana,546
rui,544
wangjing,541
dongdong,541
baobei,539
xinxin,534
huan,534
zhuzhu,529
lijun,526
zhanglei,524
liuyang,521
zhi,520
tong,520
ha,520
mama,519
man,510
kong,509
shuai,508
duan,505
